970011768,20210217,202102,2021,2021.1288,MAR,MOROCCO,MAR,,,,,,,,,,,,,,,,,,0,045, Mediate,045,04,1,5.0,8,1,8,-2.5377229080932797,4,"Rabat, Rabat-Saléemmour-ZaëMO, Morocco",MO,MO49,21812,34.02,-6.83,-43376,0,,,,,,,,4,"Saguia El-Hamra, Western Sahara (general), Western Sahara",WI,WI00,32691,26.8161,-12.8083,-1063868,20210217000000,https://new.finalcall.com/2021/02/16/friction-escalates-in-western-sahara-morocco-dispute/
970011769,20210217,202102,2021,2021.1288,MAR,MOROCCO,MAR,,,,,,,,,,,,,,,,,,0,045, Mediate,045,04,1,5.0,2,1,2,-2.5377229080932797,4,"Rabat, Rabat-Saléemmour-ZaëMO, Morocco",MO,MO49,21812,34.02,-6.83,-43376,0,,,,,,,,4,"Rabat, Rabat-Saléemmour-ZaëMO, Morocco",MO,MO49,21812,34.02,-6.83,-43376,20210217000000,https://new.finalcall.com/2021/02/16/friction-escalates-in-western-sahara-morocco-dispute/
970011773,20210217,202102,2021,2021.1288,MAR,SPANISH SAHARA,MAR,,,,,,,,ESP,SPAIN,ESP,,,,,,,,0,080," Yield, not specified below ",080,08,2,5.0,2,1,2,-2.5377229080932797,4,"Rabat, Rabat-Saléemmour-ZaëMO, Morocco",MO,MO49,21812,34.02,-6.83,-43376,4,"Saguia El-Hamra, Western Sahara (general), Western Sahara",WI,WI00,32691,26.8161,-12.8083,-1063868,4,"Saguia El-Hamra, Western Sahara (general), Western Sahara",WI,WI00,32691,26.8161,-12.8083,-1063868,20210217000000,https://new.finalcall.com/2021/02/16/friction-escalates-in-western-sahara-morocco-dispute/
970011774,20210217,202102,2021,2021.1288,MAR,MOROCCO,MAR,,,,,,,,FRA,FRANCE,FRA,,,,,,,,0,112," Accuse, not specified below",112,11,3,-2.0,2,1,2,-2.5377229080932797,4,"Rabat, Rabat-Saléemmour-ZaëMO, Morocco",MO,MO49,21812,34.02,-6.83,-43376,4,"Rabat, Rabat-Saléemmour-ZaëMO, Morocco",MO,MO49,21812,34.02,-6.83,-43376,4,"Rabat, Rabat-Saléemmour-ZaëMO, Morocco",MO,MO49,21812,34.02,-6.83,-43376,20210217000000,https://new.finalcall.com/2021/02/16/friction-escalates-in-western-sahara-morocco-dispute/
970011775,20210217,202102,2021,2021.1288,MAR,MOROCCO,MAR,,,,,,,,FRA,FRANCE,FRA,,,,,,,,0,112," Accuse, not specified below",112,11,3,-2.0,8,1,8,-2.5377229080932797,4,"Rabat, Rabat-Saléemmour-ZaëMO, Morocco",MO,MO49,21812,34.02,-6.83,-43376,1,France,FR,FR,,46.0,2.0,FR,4,"Rabat, Rabat-Saléemmour-ZaëMO, Morocco",MO,MO49,21812,34.02,-6.83,-43376,20210217000000,https://new.finalcall.com/2021/02/16/friction-escalates-in-western-sahara-morocco-dispute/
970011776,20210217,202102,2021,2021.1288,MAR,MOROCCO,MAR,,,,,,,,IGOUNO,UNITED NATIONS,,UNO,,,,IGO,,,0,045, Mediate,045,04,1,5.0,10,1,10,-2.5377229080932797,4,"Rabat, Rabat-Saléemmour-ZaëMO, Morocco",MO,MO49,21812,34.02,-6.83,-43376,4,"Rabat, Rabat-Saléemmour-ZaëMO, Morocco",MO,MO49,21812,34.02,-6.83,-43376,4,"Rabat, Rabat-Saléemmour-ZaëMO, Morocco",MO,MO49,21812,34.02,-6.83,-43376,20210217000000,https://new.finalcall.com/2021/02/16/friction-escalates-in-western-sahara-morocco-dispute/
970011777,20210217,202102,2021,2021.1288,MAR,MOROCCO,MAR,,,,,,,,IGOUNOGOV,THE UN,,UNO,,,,IGO,GOV,,0,112," Accuse, not specified below",112,11,3,-2.0,10,1,10,-2.5377229080932797,4,"Rabat, Rabat-Saléemmour-ZaëMO, Morocco",MO,MO49,21812,34.02,-6.83,-43376,4,"Rabat, Rabat-Saléemmour-ZaëMO, Morocco",MO,MO49,21812,34.02,-6.83,-43376,4,"Rabat, Rabat-Saléemmour-ZaëMO, Morocco",MO,MO49,21812,34.02,-6.83,-43376,20210217000000,https://new.finalcall.com/2021/02/16/friction-escalates-in-western-sahara-morocco-dispute/
970011778,20210217,202102,2021,2021.1288,MAR,MOROCCO,MAR,,,,,,,,ISR,ISRAEL,ISR,,,,,,,,1,050," Engage in diplomatic cooperation, not specified below",050,05,1,3.5,2,1,2,-2.5377229080932797,4,"Rabat, Rabat-Saléemmour-ZaëMO, Morocco",MO,MO49,21812,34.02,-6.83,-43376,4,"Rabat, Rabat-Saléemmour-ZaëMO, Morocco",MO,MO49,21812,34.02,-6.83,-43376,4,"Rabat, Rabat-Saléemmour-ZaëMO, Morocco",MO,MO49,21812,34.02,-6.83,-43376,20210217000000,https://new.finalcall.com/2021/02/16/friction-escalates-in-western-sahara-morocco-dispute/
970011779,20210217,202102,2021,2021.1288,MAR,MOROCCO,MAR,,,,,,,,ISR,ISRAEL,ISR,,,,,,,,1,050," Engage in diplomatic cooperation, not specified below",050,05,1,3.5,8,1,8,-2.5377229080932797,4,"Rabat, Rabat-Saléemmour-ZaëMO, Morocco",MO,MO49,21812,34.02,-6.83,-43376,1,Israel,IS,IS,,31.5,34.75,IS,1,Israel,IS,IS,,31.5,34.75,IS,20210217000000,https://new.finalcall.com/2021/02/16/friction-escalates-in-western-sahara-morocco-dispute/
970011903,20210217,202102,2021,2021.1288,MIL,MILITARY,,,,,,MIL,,,MAR,MOROCCAN,MAR,,,,,,,,0,110," Disapprove, not specified below",110,11,3,-2.0,8,1,8,-2.5377229080932797,4,"Rabat, Rabat-Saléemmour-ZaëMO, Morocco",MO,MO49,21812,34.02,-6.83,-43376,4,"Rabat, Rabat-Saléemmour-ZaëMO, Morocco",MO,MO49,21812,34.02,-6.83,-43376,4,"Rabat, Rabat-Saléemmour-ZaëMO, Morocco",MO,MO49,21812,34.02,-6.83,-43376,20210217000000,https://new.finalcall.com/2021/02/16/friction-escalates-in-western-sahara-morocco-dispute/
